max_altitude,rise_azimuth,set_azimuth,archived,experimental,year,station_lat,station_lng,station_alt,horizon,station_status,duration_seconds,hour_of_day,day_of_week,month,day_of_year,week_of_year,altitude_squared,altitude_log,hour_sin,hour_cos,month_sin,month_cos,abs_latitude,true_label,predicted_label,error_type
3.0,336.0,268.0,1,0,2025,40.0091,-105.247,20,0,0,376.0,17,1,4,105,16,9.0,1.3862943611198906,-0.9659258262890684,-0.2588190451025206,0.8660254037844387,-0.4999999999999998,40.0091,0.0,1.0,False Positive
52.0,176.0,342.0,1,0,2023,42.019,0.7444,755,15,1,730.0,19,1,12,346,50,2704.0,3.970291913552122,-0.9659258262890684,0.2588190451025203,-2.4492935982947064e-16,1.0,42.019,0.0,1.0,False Positive
36.0,11.0,223.0,1,0,2025,57.61,-3.62,50,20,0,739.0,0,6,3,75,11,1296.0,3.610917912644224,0.0,1.0,1.0,6.123233995736766e-17,57.61,0.0,1.0,False Positive
21.0,54.0,132.0,1,0,2023,48.886,8.693,337,45,2,241.0,8,6,6,162,23,441.0,3.091042453358316,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,48.886,0.0,1.0,False Positive
18.0,120.0,31.0,1,0,2021,4.711,-74.097,2600,10,0,273.0,9,5,12,345,49,324.0,2.9444389791664403,0.7071067811865476,-0.7071067811865475,-2.4492935982947064e-16,1.0,4.711,1.0,0.0,False Negative
86.0,16.0,193.0,1,0,2023,56.82,12.89,67,20,0,247.0,7,3,8,236,34,7396.0,4.465908118654584,0.9659258262890684,-0.2588190451025206,-0.8660254037844385,-0.5000000000000004,56.82,0.0,1.0,False Positive
21.0,136.0,2.0,1,0,2024,42.019,0.7444,755,15,1,634.0,20,4,3,75,11,441.0,3.091042453358316,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,42.019,0.0,1.0,False Positive
27.0,57.0,136.0,1,0,2023,42.687,23.307,630,15,2,185.0,11,3,10,292,42,729.0,3.332204510175204,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,42.687,0.0,1.0,False Positive
31.0,259.0,52.0,1,0,2023,28.152591,-16.728621,915,10,2,643.0,6,0,8,233,34,961.0,3.4657359027997265,1.0,6.123233995736766e-17,-0.8660254037844385,-0.5000000000000004,28.152591,1.0,0.0,False Negative
41.0,300.0,143.0,0,0,2025,-20.74,116.807,20,5,2,888.0,4,6,3,82,12,1681.0,3.737669618283368,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,20.74,0.0,1.0,False Positive
55.0,183.0,328.0,1,0,2024,-38.28,-57.854,10,20,2,228.0,4,2,8,220,32,3025.0,4.02535169073515,0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,38.28,0.0,1.0,False Positive
73.0,22.0,186.0,1,0,2022,-34.60722,-58.3909,45,15,2,347.0,17,2,2,40,6,5329.0,4.30406509320417,-0.9659258262890684,-0.2588190451025206,0.8660254037844386,0.5000000000000001,34.60722,0.0,1.0,False Positive
40.0,355.0,224.0,1,0,2024,48.886,8.693,337,45,2,325.0,11,3,8,235,34,1600.0,3.713572066704308,0.258819045102521,-0.9659258262890682,-0.8660254037844385,-0.5000000000000004,48.886,0.0,1.0,False Positive
32.0,142.0,14.0,1,0,2022,4.711,-74.097,2600,10,0,414.0,15,6,4,93,13,1024.0,3.49650756146648,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,4.711,1.0,0.0,False Negative
55.0,241.0,52.0,0,0,2024,41.0053,39.2978,490,10,2,531.0,13,1,11,324,47,3025.0,4.02535169073515,-0.2588190451025208,-0.9659258262890684,-0.5000000000000004,0.8660254037844384,41.0053,1.0,0.0,False Negative
78.0,169.0,343.0,0,0,2025,49.2169371,7.01402,224,10,0,668.0,21,3,4,114,17,6084.0,4.3694478524670215,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,49.2169371,0.0,1.0,False Positive
46.0,147.0,358.0,0,0,2025,49.2169371,7.01402,224,10,0,365.0,20,1,5,140,21,2116.0,3.8501476017100575,-0.8660254037844386,0.5000000000000001,0.4999999999999999,-0.8660254037844387,49.2169371,0.0,1.0,False Positive
85.0,306.0,122.0,1,0,2023,42.687,23.307,630,15,2,221.0,12,3,10,285,41,7225.0,4.454347296253507,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,42.687,0.0,1.0,False Positive
84.0,165.0,343.0,1,0,2025,53.1094,6.1076,6,10,2,627.0,16,2,5,141,21,7056.0,4.442651256490317,-0.8660254037844385,-0.5000000000000004,0.4999999999999999,-0.8660254037844387,53.1094,0.0,1.0,False Positive
46.0,25.0,194.0,1,0,2024,63.854,20.208,35,0,2,364.0,5,3,2,53,8,2116.0,3.8501476017100575,0.9659258262890684,0.2588190451025207,0.8660254037844386,0.5000000000000001,63.854,0.0,1.0,False Positive
35.0,214.0,62.0,0,0,2024,42.06,-76.2,370,5,0,628.0,4,0,12,365,1,1225.0,3.58351893845611,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,42.06,1.0,0.0,False Negative
75.0,277.0,81.0,1,0,2023,63.854,20.208,35,0,2,204.0,6,0,8,219,32,5625.0,4.330733340286331,1.0,6.123233995736766e-17,-0.8660254037844385,-0.5000000000000004,63.854,0.0,1.0,False Positive
79.0,11.0,198.0,0,0,2025,50.217,8.641,200,10,2,297.0,23,1,9,266,39,6241.0,4.382026634673881,-0.2588190451025215,0.965925826289068,-1.0,-1.8369701987210294e-16,50.217,0.0,1.0,False Positive
57.0,131.0,3.0,1,0,2024,51.25,22.5,200,30,2,428.0,9,4,11,313,45,3249.0,4.060443010546419,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,51.25,0.0,1.0,False Positive
27.0,348.0,214.0,1,0,2023,1.338,103.934,50,5,2,473.0,16,5,11,329,47,729.0,3.332204510175204,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,1.338,1.0,0.0,False Negative
49.0,152.0,352.0,0,0,2025,47.917,19.895,954,0,2,693.0,22,3,7,198,29,2401.0,3.912023005428146,-0.5000000000000004,0.8660254037844384,-0.4999999999999997,-0.8660254037844388,47.917,1.0,0.0,False Negative
31.0,227.0,323.0,1,1,2022,42.392,-71.11,30,15,0,228.0,2,4,4,112,16,961.0,3.4657359027997265,0.4999999999999999,0.8660254037844387,0.8660254037844387,-0.4999999999999998,42.392,0.0,1.0,False Positive
29.0,357.0,225.0,1,1,2022,45.589,-73.331,56,6,0,488.0,15,3,12,356,51,841.0,3.4011973816621555,-0.7071067811865471,-0.7071067811865479,-2.4492935982947064e-16,1.0,45.589,1.0,0.0,False Negative
87.0,16.0,194.0,1,0,2023,56.82,12.89,67,20,0,301.0,17,3,4,110,16,7569.0,4.477336814478207,-0.9659258262890684,-0.2588190451025206,0.8660254037844387,-0.4999999999999998,56.82,0.0,1.0,False Positive
78.0,148.0,348.0,1,0,2023,63.854,20.208,35,20,0,180.0,11,0,11,317,46,6084.0,4.3694478524670215,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384,63.854,0.0,1.0,False Positive
23.0,251.0,335.0,1,1,2025,43.81477,4.06576,52,0,0,337.0,18,1,5,140,21,529.0,3.1780538303479458,-1.0,-1.8369701987210294e-16,0.4999999999999999,-0.8660254037844387,43.81477,1.0,0.0,False Negative
64.0,73.0,112.0,1,0,2024,50.567,22.074,12,7,2,720.0,19,5,8,244,35,4096.0,4.174387269895637,-0.9659258262890684,0.2588190451025203,-0.8660254037844385,-0.5000000000000004,50.567,0.0,1.0,False Positive
42.0,236.0,24.0,1,0,2024,-3.708,128.193,10,6,0,680.0,15,1,1,16,3,1764.0,3.7612001156935615,-0.7071067811865471,-0.7071067811865479,0.4999999999999999,0.8660254037844387,3.708,1.0,0.0,False Negative
73.0,156.0,353.0,1,0,2022,49.979,21.913,225,15,2,308.0,20,1,12,354,51,5329.0,4.30406509320417,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,49.979,0.0,1.0,False Positive
34.0,125.0,357.0,1,0,2024,53.1094,6.1076,6,10,2,556.0,14,6,7,189,27,1156.0,3.555348061489413,-0.4999999999999997,-0.8660254037844388,-0.4999999999999997,-0.8660254037844388,53.1094,0.0,1.0,False Positive
13.0,295.0,59.0,1,0,2023,42.29322,-83.71073,300,0,0,533.0,21,5,4,91,13,169.0,2.6390573296152584,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,42.29322,1.0,0.0,False Negative
24.0,338.0,251.0,1,0,2024,33.6452,-111.9803,347,15,0,386.0,8,6,11,308,44,576.0,3.218875824868201,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,33.6452,1.0,0.0,False Negative
71.0,6.0,195.0,1,0,2024,-3.708,128.193,10,6,0,522.0,23,0,1,1,1,5041.0,4.276666119016055,-0.2588190451025215,0.965925826289068,0.4999999999999999,0.8660254037844387,3.708,1.0,0.0,False Negative
88.0,12.0,194.0,1,0,2024,42.019,0.7444,755,15,1,365.0,14,0,5,134,20,7744.0,4.48863636973214,-0.4999999999999997,-0.8660254037844388,0.4999999999999999,-0.8660254037844387,42.019,0.0,1.0,False Positive
18.0,349.0,217.0,1,0,2023,13.8422302,100.8554904,50,10,2,558.0,17,3,11,320,46,324.0,2.9444389791664403,-0.9659258262890684,-0.2588190451025206,-0.5000000000000004,0.8660254037844384,13.8422302,0.0,1.0,False Positive
